status,user,pricePerPoint,totalCost,points,resort,useYear,availablePoints,notes,dateSent,dateResolved
Passed,Unicorn Dreams,135.00,21945.00,150,PVB,Dec,"0/16, 150/17, 300/18, 150/19",2017 are holding,2018-04-11,2018-05-01
Passed,striker1064,139.00,21538.00,150,PVB,Aug,"0/17, 11/18, 150/19",,2018-05-04,2018-05-24
Passed,kwelch10377,95.00,16150.00,170,SSR,Jun,"0/17, 174/18, 170/19",,2018-03-27,2018-04-09
Passed,NLW814,92.50,17321.00,170,SSR,Mar,"0/17, 153/18, 170/19",,2018-03-27,2018-04-09
Passed,babydreamz,99.00,13763.00,125,SSR,Dec,"125/17, 125/18, 125/19",,2018-04-06,2018-04-13
Passed,dfisher9,93.00,20523.00,200,SSR,Mar,"0/17, 292/18, 200/19, 200/20",,2018-04-09,2018-04-14
Passed,DaveNan,97.00,15984.00,150,SSR,Sep,"110/17, 150/18, 150/19",,2018-04-12,2018-05-02
Passed,whositsgalore,97.00,12349.00,120,SSR,Feb,"0/17, 120/18, 120/19, 120/20",,2018-05-03,2018-05-23
Passed,DizneyLizzy,101.00,5550.00,50,SSR,Feb,"0/17, 0/18, 27/19, 50/20",,2018-04-30,2018-05-23
Passed,crushonminie,94.00,20723.00,200,SSR,Feb,"0/17, 200/18, 200/19, 200/20",,2018-05-15,2018-05-23
Passed,disneyeveryyear,100.00,17493.00,160,SSR,Jun,"0/17, 320/18, 160/19, 160/20",,2018-04-27,2018-05-23
Passed,wings91,95.00,25900.00,250,SSR,Jun,"0/17, 500/18, 250/19",,2018-05-04,2018-05-23
Passed,RickL,100.00,11038.00,100,SSR,Apr,"100/17, 100/18, 100/19, 100/20",,2018-04-30,2018-05-23
Passed,MommyCook,190.00,19799.00,100,VGC,Sep,"0/17, 0/18, 100/19",,2018-04-06,2018-04-19
Passed,Disneylovinfamilyof6,150.00,30195.00,200,VGC,Feb,"0/17, 12/18, 200/19, 200/20",Seller pays CC&�18MF,2018-04-11,2018-05-01
Passed,kms75,170.00,57161.00,325,VGC,Jun,"0/17, 403/18, 325/19",,2018-04-16,2018-05-03
Passed,Bruin_mouse,182.00,9894.00,50,VGC,Sep,"49/17, 100/18, 50/19",,2018-04-26,2018-05-23
Passed,Bruin_mouse,182.00,9894.00,50,VGC,Sep,"50/17, 100/18, 50/19",,2018-04-26,2018-05-23
Passed,Discanucksw,186.00,46918.00,240,VGC,Jun,"0/17, 480/18, 240/19",,2018-04-21,2018-05-23
Passed,gergy9,128.00,16791.00,125,VGF,Dec,"0/17, 125/18, 125/19",Seller Pays MF '18,2018-03-14,2018-04-06
Passed,DisneyDee81,140.00,19121.00,130,VGF,Dec,"0/17, 65/18, 130/19",,2018-03-24,2018-04-09
Passed,Disneylovinfamilyof6,150.00,21048.00,130,VGF,Jun,"39/17, 260/18, 130/19",Seller pays 17 MF,2018-04-03,2018-04-17
Passed,Disneylovinfamilyof6,155.00,15690.00,100,VGF,Jun,"0/17, 31/18, 100/19",Seller pays CC,2018-04-11,2018-05-01
Passed,Disneylovinfamilyof6,145.00,17595.00,120,VGF,Jun,"0/17, 0/18, 120/19, 120/20",Seller pays CC,2018-04-25,2018-05-17
Passed,jaybaileys,145.00,15813.00,100,VGF,Mar,"0/17, 100/18, 100/19",,2018-04-25,2018-05-17
Waiting,motherof5,100.00,29586.00,270,AKV,Apr,"264/17, 270/18, 270/19",,2018-03-08,
Waiting,Calculator,93.00,20425.00,200,AKV,Jun,"0/17, 156/18, 200/19",,2018-03-12,
Waiting,Lgarland86,103.00,11602.00,100,AKV,Dec,"0/17, 100/18, 100/19",,2018-04-24,
Waiting,NHLFAN,103.00,11631.00,100,AKV,Dec,"184/17, 100/18, 100/19",,2018-04-05,
Waiting,Jerry5788,100.00,21100.00,205,AKV,Sep,"66/17, 83/18, 205/19",international seller,2018-05-08,
Waiting,NewbieMom,88.00,14839.00,150,AKV,Apr,"0/17, 150/18, 150/19, 150/20",,2018-05-07,
Waiting,David K.,104.00,24537.00,220,AKV,Mar,"0/17, 152/18, 220/19",,2018-05-14,
Waiting,Dan1,101.00,12693.00,120,AKV,Feb,"0/17, 0/18, 120/19, 120/20",,2018-04-27,
Waiting,Gilbert Loo,112.00,24382.00,200,AKV,Dec,"200/17, 200/18, 200/19",,2018-05-23,
Waiting,NewbieMom,120.00,19525.00,150,BLT,Dec,"0/17, 300/18, 150/19",,2018-05-16,
Waiting,Jerry5788,130.00,22537.00,160,BLT,Sep,"0/16, 0/17, 320/18, 160/19",,2018-05-23,
Waiting,Nancy,143.00,9603.00,60,BWV,Jun,"60/17, 60/18, 60/19",,2018-03-19,
Waiting,TexasChick123,118.00,19267.00,150,BWV,Aug,"150/17, 150/18, 150/19",,2018-05-10,
Waiting,DisHeels,114.00,24927.00,200,BWV,Oct,"0/17, 286/18, 200/19",,2018-05-21,
Waiting,mlittig,150.00,8457.00,50,BWV,Aug,"0/16, 0/17, 50/18, 50/19",,2018-05-18,
Waiting,Reneedisnerd,90.00,23029.00,230,OKW,Aug,"0/17, 222/18, 230/19",,2018-05-11,
Waiting,ajjonesehc,87.00,19433.00,220,OKW,Mar,"0/17, 0/18, 220/19, 220/20",seller pays 1/2 closing costs,2018-05-21,
Waiting,JV63,90.00,24025.00,260,OKW,Apr,"0/17, 220/18, 260/19, 260/20",Seller pays '18 dues,2018-05-25,
Waiting,DizneyLizzy,109.00,11998.00,100,OKW(E),Aug,"0/17, 100/18, 100/19",,2018-04-24,
Waiting,Mumof4mice,135.00,27650.00,200,PVB,Dec,"0/16, 4/17, 200/18, 200/19",Seller pays 2018 MF,2018-04-27,
Waiting,Gamomof2,94.00,18800.00,200,SSR,Feb,"0/17, 10/18, 200/19, 200/20",seller pays MF '18,2018-03-28,
Waiting,aoconnor(seller),98.00,21564.00,202,SSR,Feb,"0/17, 202/18, 202/19",,2018-04-17,
Waiting,Blacklablover,90.00,18750.00,200,SSR,Dec,"0/17, 36/18, 200/19",,2018-04-12,
Waiting,fearthisinc,95.00,21060.00,200,SSR,Dec,"108/16, 200/17, 200/18, 200/19",,2018-04-26,
Waiting,Calculator,95.00,22325.00,235,SSR,Oct,"0/17, 9/18, 235/19",Seller pays closing,2018-04-30,
Waiting,lola_stark42,97.00,17650.00,160,SSR,Sep,"0/17, 169/18, 160/19",,2018-05-07,
Waiting,Buzz's Buddy,91.00,18200.00,200,SSR,Sep,"4/17, 0/18, 200/19",Seller pays closing,2018-05-10,
Waiting,Preacherroe,90.00,23230.00,250,SSR,Jun,"0/17, 17/18, 250/19, 250/20",,2018-05-14,
Waiting,Alldayidreamaboutdisney,94.00,16691.00,160,SSR,Aug,"0/16, 0/17, 162/18, 160/19",,2018-05-16,
Waiting,thumper729,97.00,16065.00,160,SSR,Dec,"0/17, 9/18, 160/19",,2018-05-21,
Waiting,kboo,150.00,15742.00,100,VGF,Aug,"0/16, 124/17, 16/18, 100/19",124 pts expire 7.31,2018-05-17,
Waiting,beourguest2009,110.00,6444.00,50,BRV@WL,Aug,"0/16, 0/17, 100/18, 50/19",,2018-05-25,
Taken,DisneynBison,97.00,21452.00,200,AKV,Dec,"0/16, 300/17, 200/18, 200/19",,2018-03-12,2018-04-03
Taken,Ren�e H,92.00,20363.00,210,AKV,Feb,"0/17, 56/18, 210/19, 210/20",,2018-03-11,2018-04-04
Taken,evenstephen,107.00,13465.00,120,AKV,Dec,"0/16, 0/17, 0/18, 120/19",,2018-03-16,2018-04-06
Taken,OneLittleSpark2014,95.00,10921.00,100,AKV,Mar,"0/17, 100/18, 100/19",,2018-03-16,2018-04-09
Taken,icesk8abc,97.00,17321.00,160,AKV,Jun,"160/17, 304/18, 160/19",,2018-03-19,2018-04-11
Taken,hoserland,97.00,16785.00,160,AKV,Dec,"0/17, 160/18, 160/19",Split 2018 MFs,2018-03-27,2018-04-20
Taken,jenr812,98.00,14303.00,130,AKV,Sep,"26/17, 260/18, 130/19",,2018-04-02,2018-05-01
Taken,NHLFAN,103.00,11631.00,100,AKV,Dec,"184/17, 100/18, 100/19",,2018-04-05,2018-05-02
Taken,David K.,102.00,22356.00,200,AKV,Sep,"0/17, 200/18, 200/19",,2018-04-12,2018-05-08
Taken,Gilbert Loo,103.00,23966.00,220,AKV,Oct,"0/16, 55/17, 100/18, 220/19",,2018-04-23,2018-05-23
Taken,rundisney79,100.00,54775.00,500,BWV,Feb,"500/17, 500/18, 500/19, 500/20",,2018-04-10,2018-05-04
Taken,JV63,80.00,22215.00,270,OKW,Mar,"0/17, 100/18, 49/19, 270/20",Seller pays 18/19 MF,2018-03-12,2018-04-12
Taken,lola_stark42,74.00,17273.00,220,OKW,Oct,"0/17, 10/18, 220/19",,2018-04-03,2018-05-02
Taken,Reneedisnerd,80.00,13453.00,150,OKW,Mar,"0/17, 150/18, 150/19, 150/20",,2018-04-11,2018-05-09
Taken,ajjonesehc,73.00,23942.00,300,OKW,Mar,"0/17, 323/18, 300/19, 300/20",,2018-04-16,2018-05-15
Taken,JV63,82.00,22765.00,270,OKW,Oct,"0/16, 0/17, 0/18, 270/19",,2018-04-19,2018-05-16
Taken,Tinks624,93.00,7140.00,70,OKW(E),Aug,"0/16, 0/17, 0/18, 70/19",,2018-04-15,2018-05-11
Taken,ajjonesehc,89.00,24854.00,270,SSR,Mar,"72/17, 270/18, 270/19",,2018-03-09,2018-04-03
Taken,DaveNan,90.00,15085.00,150,SSR,Dec,"50/17, 150/18, 150/19",,2018-03-12,2018-04-03
Taken,rwatson626,86.00,18630.00,210,SSR,Feb,"0/17, 0/18, 210/19, 210/20",,2018-03-20,2018-04-10
Taken,Mtob88,92.00,13274.00,130,SSR,Dec,"35/17, 130/18, 130/19",,2018-03-22,2018-04-11
Taken,thumper729,92.00,15300.00,160,SSR,Oct,"0/17, 0/18, 160/19",,2018-03-21,2018-04-11
Taken,TexasChick123,85.00,14297.00,150,SSR,Mar,"38/17, 150/18, 150/19, 150/20",Seller banked 2017 pts,2018-03-26,2018-04-17
Taken,Erika Ambourn,92.00,18022.00,185,SSR,Mar,"0/17, 160/18, 185/19, 185/20",,2018-03-28,2018-04-19
Taken,Calculator,90.00,22500.00,250,SSR,Apr,"0/17, 0/18, 250/19",Seller pays closing,2018-03-31,2018-04-29
Taken,Jerry5788,88.00,15528.00,160,SSR,Mar,"81/17, 160/18, 160/19",,2018-04-11,2018-05-04
Taken,Blacklablover,90.00,18750.00,200,SSR,Dec,"0/17, 36/18, 200/19",,2018-04-12,2018-05-07
Taken,wfishy5,89.00,25724.00,270,SSR,Mar,"0/17, 174/18, 270/19",,2018-04-13,2018-05-09
Taken,Thumper729,95.00,14725.00,150,SSR,Oct,"0/17, 2/18, 150/19",,2018-04-16,2018-05-14
Taken,Courtney924,95.00,10110.00,100,SSR,Apr,"0/17, 100/18, 100/19",,2018-04-19,2018-05-16
Taken,Samucy,83.00,19333.00,210,SSR,Dec,"7/17, 210/18, 210/19",,2018-04-09,2018-05-21
Taken,eaglesrest,89.00,29038.00,300,SSR,Dec,"12/17, 125/18, 300/19",,2018-04-27,2018-05-25
Taken,rwthompson82,135.00,19065.00,130,VGF,Aug,"0/16, 6/17, 124/18, 130/19",,2018-04-03,2018-04-25
